pressurec2,energy_densityc2,baryon_density,cs2c2
3.973730381485578003e+11,9.489788442987151562e+13,9.412278665835045312e+13,7.416063456173496195e-03
4.104180502904696045e+11,9.662847385121029688e+13,9.583196754622596875e+13,7.663349412393178489e-03
4.238913057338723145e+11,9.835831079326915625e+13,9.754017185879751562e+13,7.914489737023935184e-03
4.378068629038128052e+11,1.000890366799271406e+14,9.924901709807998438e+13,8.167595568796929412e-03
4.521792417370677490e+11,1.018216857690067344e+14,1.009595205607734531e+14,8.419570105817203443e-03
4.670234388327263794e+11,1.035589784234916250e+14,1.026743632990482812e+14,8.665056828033677189e-03
4.823549431001414795e+11,1.053039306273029375e+14,1.043965168291105625e+14,8.904152776347637466e-03
4.981897519205127563e+11,1.070589116871182656e+14,1.061283130781712344e+14,9.134870676481386328e-03
5.145443878390913086e+11,1.088273965785209219e+14,1.078731736659678281e+14,9.357206474192993756e-03
5.314359158053171997e+11,1.106115448562517031e+14,1.096332208274562500e+14,9.573484100211769598e-03
5.488819609789624023e+11,1.124137327279847969e+14,1.114107893106148125e+14,9.781553947572999355e-03
5.669007271207409668e+11,1.142367937324579375e+14,1.132086635645463750e+14,9.985233563954127797e-03
5.855110155867154541e+11,1.160816103434868281e+14,1.150277026731473594e+14,1.018841235144203952e-02
6.047322449462583008e+11,1.179495257162185312e+14,1.168692192182055000e+14,1.038984990706770355e-02
6.245844712439577637e+11,1.198418720651802656e+14,1.187345140830437344e+14,1.059207884030047460e-02
6.450884089267679443e+11,1.217590795974654531e+14,1.206239982530441875e+14,1.079653268055915868e-02
6.662654524581069336e+11,1.237019737607004375e+14,1.225384716658350156e+14,1.100295411356518038e-02
6.881376986415610352e+11,1.256711051016323281e+14,1.244784627048185625e+14,1.121259713831666838e-02
7.107279696773388672e+11,1.276668787676550781e+14,1.264443559324523750e+14,1.142489139346098553e-02
7.340598369757108154e+11,1.296900749328443125e+14,1.284369047193198438e+14,1.163928305360808699e-02
7.581576457522036133e+11,1.317413243461698438e+14,1.304567145487319844e+14,1.185638889343448507e-02
7.830465404301141357e+11,1.338212183569749062e+14,1.325043514241967031e+14,1.207590849184104684e-02
8.087524908770440674e+11,1.359305213744396250e+14,1.345805510053976719e+14,1.229762228368561430e-02
8.353023195026679688e+11,1.380699312979254219e+14,1.366859826954772031e+14,1.252268012774063882e-02
8.627237292461385498e+11,1.402398470825172031e+14,1.388210209717966562e+14,1.275219573426756778e-02
8.910453324821484375e+11,1.424406185105454062e+14,1.409859913051022812e+14,1.298702821555771866e-02
9.202966808760290527e+11,1.446723914263290625e+14,1.431810179646315938e+14,1.322981618639510262e-02
9.505082962189420166e+11,1.469346648417083125e+14,1.454055886516980938e+14,1.348243453426696895e-02
9.817117022752141113e+11,1.492270050047841250e+14,1.476592570354660938e+14,1.374674008893192120e-02
1.013939457675276367e+12,1.515483619036520000e+14,1.499409708706570938e+14,1.402550933036503938e-02
1.047225189888423096e+12,1.538974622422425312e+14,1.522494586939681875e+14,1.432023778701218067e-02
