R [km],M [Msun],P_div_c2 [g/cm^3]
1.338563265306122396e+01,1.794732674327456090e+00,1.496125183539210938e+14
1.336383673469387823e+01,1.794192791747360571e+00,1.528919806595111250e+14
1.334375510204081827e+01,1.793876430046536186e+00,1.562433278122517500e+14
1.331651020408163433e+01,1.793671678311580697e+00,1.596681355068058750e+14
1.329175510204081689e+01,1.793523977293855376e+00,1.631680139765989375e+14
1.326636734693877706e+01,1.793637069980521304e+00,1.667446087508965312e+14
1.323889795918367440e+01,1.793854244331336334e+00,1.703996014284834688e+14
1.321397959183673443e+01,1.794290627101476465e+00,1.741347104682914375e+14
1.318751020408163477e+01,1.794898250344796775e+00,1.779516919973676250e+14
1.315961224489796066e+01,1.795619134018838325e+00,1.818523406365463750e+14
1.312946938775510475e+01,1.796585293226732549e+00,1.858384903442197500e+14
1.310375510204081806e+01,1.797762019715595017e+00,1.899120152786100312e+14
1.307361224489796037e+01,1.799236002370653731e+00,1.940748306789324375e+14
1.304226530612245050e+01,1.800754628003442770e+00,1.983288937658842812e+14
1.301463265306122530e+01,1.802522747112663248e+00,2.026762046618606250e+14
1.298765306122449026e+01,1.804578683724510357e+00,2.071188073313522500e+14
1.295787755102040784e+01,1.806743002516451257e+00,2.116587905419492188e+14
1.292869387755102117e+01,1.809091453335959221e+00,2.162982888464089062e+14
1.289795918367347127e+01,1.811544887231441914e+00,2.210394835862595625e+14
1.286793877551020415e+01,1.814071128643381270e+00,2.258846039173891562e+14
1.283767346938775766e+01,1.816724476977108482e+00,2.308359278581294062e+14
1.281265306122449132e+01,1.819477813267845079e+00,2.358957833602986875e+14
1.278093877551020441e+01,1.822302973165426998e+00,2.410665494037359062e+14
1.274838775510204059e+01,1.825207286828968600e+00,2.463506571148169062e+14
1.272273469387755185e+01,1.828354515534200253e+00,2.517505909094882188e+14
1.268597959183673396e+01,1.831555936666782403e+00,2.572688896613656562e+14
1.266191836734694043e+01,1.835051799062298539e+00,2.629081478954221875e+14
1.262877551020408085e+01,1.838498667121956753e+00,2.686710170078578438e+14
1.259863265306122493e+01,1.842287354093736784e+00,2.745602065126914375e+14
1.256736734693877722e+01,1.846143491133217518e+00,2.805784853156938438e+14
1.254030612244898002e+01,1.850127573085662780e+00,2.867286830162343750e+14
1.250789795918367453e+01,1.854280216529788028e+00,2.930136912376629375e+14
1.247491836734694104e+01,1.858471802049549870e+00,2.994364649868658750e+14
1.244500000000000028e+01,1.862821721943465070e+00,3.060000240436046250e+14
1.241665306122449053e+01,1.867311078987937689e+00,3.127074543803277500e+14
1.238791836734694130e+01,1.871886402933151006e+00,3.195619096130855000e+14
1.235587755102040752e+01,1.876501664778028378e+00,3.265666124842661875e+14
1.232473469387755216e+01,1.881093744756470842e+00,3.337248563778213750e+14
1.229681632653061385e+01,1.885716980312526658e+00,3.410400068677043125e+14
1.226691836734694085e+01,1.890377271889838173e+00,3.485155033002625625e+14
