R [km],M [Msun],P_div_c2 [g/cm^3]
1.471509387755102216e+04,2.896724578388690241e-01,6.248788072006891348e+00
1.465369591836734980e+04,2.897159148579508958e-01,6.438857427240419540e+00
1.458839795918367417e+04,2.899818010864700923e-01,6.634708121092347533e+00
1.451980000000000109e+04,2.904934066166888207e-01,6.836516004510238886e+00
1.444789591836734871e+04,2.912534916307394361e-01,7.044462277299037289e+00
1.437297959183673447e+04,2.923021164223760793e-01,7.258733650817249305e+00
1.429411632653061315e+04,2.936332196134376349e-01,7.479522515621821022e+00
1.421250816326530730e+04,2.952833666180008088e-01,7.707027114212299246e+00
1.413052244897959281e+04,2.972681700012344552e-01,7.941451719029339884e+00
1.404579591836734835e+04,2.995933796649578040e-01,8.183006815867393868e+00
1.395864081632653142e+04,3.022676806788812676e-01,8.431909292866254901e+00
1.387123061224489720e+04,3.053490553108884065e-01,8.688382635251183927e+00
1.378396122448979804e+04,3.088192508599398867e-01,8.952657125996395848e+00
1.369594285714285797e+04,3.127244003358860547e-01,9.224970052592174952e+00
1.360989183673469415e+04,3.170834690388478760e-01,9.505565920101195942e+00
1.352372448979591900e+04,3.218799789751797258e-01,9.794696670695396179e+00
1.343964285714285688e+04,3.271904908788189070e-01,1.009262190987047347e+01
1.335844285714285797e+04,3.330008887399108497e-01,1.039960913954120336e+01
1.327774693877551181e+04,3.393255454256395853e-01,1.071593399822671167e+01
1.320200408163265274e+04,3.462120455912892636e-01,1.104188050854160252e+01
1.312895306122449074e+04,3.536558829238697355e-01,1.137774133221491368e+01
1.305982040816326662e+04,3.617009369509478489e-01,1.172381803286598512e+01
1.299553061224489829e+04,3.703660874044389928e-01,1.208042134677328860e+01
1.293327551020408282e+04,3.796536779400488393e-01,1.244787146187906224e+01
1.287819183673469342e+04,3.896220818485298665e-01,1.282649830528059809e+01
1.282817551020408246e+04,4.002656629436961988e-01,1.321664183946605142e+01
1.278208367346938940e+04,4.116337256459347560e-01,1.361865236756081288e+01
1.274165306122448965e+04,4.237212753053931635e-01,1.403289084785873087e+01
1.270641836734693788e+04,4.365821762901875291e-01,1.445972921792019505e+01
1.267734081632653033e+04,4.502569743375163802e-01,1.489955072852853668e+01
1.265306530612244933e+04,4.647369054256565990e-01,1.535275028780422701e+01
1.263561632653061315e+04,4.800652749018442522e-01,1.581973481578599916e+01
1.263672857142857174e+04,4.757051783326597949e-01,1.630092360979741173e+01
1.263474897959183727e+04,4.716446931495910100e-01,1.679674872092653004e+01
1.263084693877551217e+04,4.678817300483675834e-01,1.730765534195725763e+01
1.262296122448979804e+04,4.643148205347754631e-01,1.783410220710008076e+01
1.261524285714285725e+04,4.609726680401970977e-01,1.837656200388170546e+01
1.260423673469387904e+04,4.578161874793517105e-01,1.893552179756295217e+01
1.259097959183673447e+04,4.548453934958184841e-01,1.951148346846616377e+01
1.257611428571428587e+04,4.520807226690512493e-01,2.010496416260498975e+01
1.255746734693877625e+04,4.494660630789128475e-01,2.071649675602068896e+01
1.253647959183673447e+04,4.470391135161322360e-01,2.134663033324243386e+01
1.251294081632653069e+04,4.448222250703502967e-01,2.199593068030074861e+01
1.248715102040816419e+04,4.428101814368508582e-01,2.266498079273692667e+01
1.245777346938775554e+04,4.410004767382159629e-01,2.335438139906479194e+01
1.242494897959183800e+04,4.393985623392043238e-01,2.406475150015424092e+01
1.239019591836734799e+04,4.380498809952566575e-01,2.479672892502157566e+01
1.235126122448979731e+04,4.369187700032591826e-01,2.555097090352506939e+01
1.230984081632653033e+04,4.360825853645503569e-01,2.632815465648020137e+01
1.226455510204081656e+04,4.354859745559559459e-01,2.712897800372467216e+01
1.221642040816326698e+04,4.352347813118199182e-01,2.795415999067856561e+01
1.216535714285714494e+04,4.352589072249111735e-01,2.880444153396297935e+01
1.211222857142857174e+04,4.356464014299459842e-01,2.968058608665602449e+01
1.205407755102040937e+04,4.363547548048792857e-01,3.058338032378431492e+01
1.199535918367347040e+04,4.374569931403438083e-01,3.151363484866479325e+01
1.193313265306122594e+04,4.389932384198721449e-01,3.247218492073128715e+01
1.186777551020408282e+04,4.409481166388694029e-01,3.345989120549975127e+01
1.180209183673469488e+04,4.433829031595931114e-01,3.447764054734464167e+01
1.173393673469387795e+04,4.462742741837670835e-01,3.552634676578139050e+01
1.166543469387755249e+04,4.497076528485294822e-01,3.660695147596902643e+01
1.159491224489795968e+04,4.536669413790856975e-01,3.772042493416997644e+01
1.152374285714285725e+04,4.582259317873702553e-01,3.886776690892667574e+01
1.145345102040816346e+04,4.633781822050968557e-01,4.005000757873611406e+01
1.138171428571428623e+04,4.691623674472898409e-01,4.126820845702951601e+01
